Name,CAS,Cnumber,Hnumber,Onumber,Nnumber,Ringnumber,Molmass,Phase,Tchar,thetachar,DeltaCp,phi0,Annotation
C7,142-82-5,7,16,0,0,0,100.21,SLB5ms,44.738,25.519,60.91,0.001,Blumberg.2017a
C8,111-65-9,8,18,0,0,0,114.2,SLB5ms,67.346,26.779,66.363,0.001,Blumberg.2017a
C9,111-84-2,9,20,0,0,0,128.26,SLB5ms,87.42,27.699,71.797,0.001,Blumberg.2017a
C10,124-18-5,10,22,0,0,0,142.28,SLB5ms,106.437,28.588,76.602,0.001,Blumberg.2017a
C11,1120-21-4,11,24,0,0,0,156.31,SLB5ms,124.746,29.628,83.819,0.001,Blumberg.2017a
C12,112-40-3,12,26,0,0,0,170.34,SLB5ms,141.255,30.301,92.491,0.001,Blumberg.2017a
C13,629-50-5,13,28,0,0,0,184.37,SLB5ms,156.657,30.962,98.511,0.001,Blumberg.2017a
C14,629-59-4,14,30,0,0,0,198.39,SLB5ms,171.12,31.564,103.961,0.001,Blumberg.2017a
C15,629-62-9,15,32,0,0,0,212.42,SLB5ms,184.746,32.117,109.405,0.001,Blumberg.2017a
1-Octanol,111-87-5,8,18,1,0,0,130.23,SLB5ms,119.497,29.317,92.778,0.001,Blumberg.2017a
1-Nonanol,143-08-8,9,20,1,0,0,144.26,SLB5ms,136.593,30.235,99.004,0.001,Blumberg.2017a
2-Octanol,123-96-6,8,18,1,0,0,130.23,SLB5ms,107.026,28.644,88.469,0.001,Blumberg.2017a
2-Nonanol,628-99-9,9,20,1,0,0,144.26,SLB5ms,124.844,29.561,93.722,0.001,Blumberg.2017a
5-Nonanol,623-93-8,9,20,1,0,0,144.26,SLB5ms,122.918,29.571,90.768,0.001,Blumberg.2017a
5-Decanol,5205-34-5,10,22,1,0,0,158.28,SLB5ms,139.539,30.354,96.469,0.001,Blumberg.2017a
2-Octanone,111-13-7,8,16,1,0,0,128.21,SLB5ms,105.291,28.876,81.294,0.001,Blumberg.2017a
2-Decanone,693-54-9,10,20,1,0,0,156.27,SLB5ms,140.205,30.591,91.994,0.001,Blumberg.2017a
C7,142-82-5,7,16,0,0,0,100.21,SPB50,28.239,24.906,50.692,0.001,Blumberg.2017a
C8,111-65-9,8,18,0,0,0,114.2,SPB50,51.055,26.156,58.211,0.001,Blumberg.2017a
C9,111-84-2,9,20,0,0,0,128.26,SPB50,71.914,27.275,62.689,0.001,Blumberg.2017a
C10,124-18-5,10,22,0,0,0,142.28,SPB50,91.129,28.227,66.861,0.001,Blumberg.2017a
C11,1120-21-4,11,24,0,0,0,156.31,SPB50,108.954,29.003,74.488,0.001,Blumberg.2017a
C12,112-40-3,12,26,0,0,0,170.34,SPB50,125.518,29.71,80.744,0.001,Blumberg.2017a
C13,629-50-5,13,28,0,0,0,184.37,SPB50,140.988,30.37,85.071,0.001,Blumberg.2017a
C14,629-59-4,14,30,0,0,0,198.39,SPB50,155.514,30.95,89.343,0.001,Blumberg.2017a
C15,629-62-9,15,32,0,0,0,212.42,SPB50,169.186,31.461,93.281,0.001,Blumberg.2017a
1-Octanol,111-87-5,8,18,1,0,0,130.23,SPB50,121.996,30.178,80.169,0.001,Blumberg.2017a
1-Nonanol,143-08-8,9,20,1,0,0,144.26,SPB50,138.268,30.925,85.39,0.001,Blumberg.2017a
2-Octanol,123-96-6,8,18,1,0,0,130.23,SPB50,107.115,29.065,78.13,0.001,Blumberg.2017a
2-Nonanol,628-99-9,9,20,1,0,0,144.26,SPB50,124.179,29.919,81.323,0.001,Blumberg.2017a
5-Nonanol,623-93-8,9,20,1,0,0,144.26,SPB50,121.566,29.894,81.309,0.001,Blumberg.2017a
5-Decanol,5205-34-5,10,22,1,0,0,158.28,SPB50,137.362,30.558,84.657,0.001,Blumberg.2017a
2-Octanone,111-13-7,8,16,1,0,0,128.21,SPB50,110.704,29.424,76.479,0.001,Blumberg.2017a
2-Decanone,693-54-9,10,20,1,0,0,156.27,SPB50,143.143,30.959,85.186,0.001,Blumberg.2017a
C7,142-82-5,7,16,0,0,0,100.21,Wax,0.932,23.664,50.469,0.001,Blumberg.2017a
C8,111-65-9,8,18,0,0,0,114.2,Wax,24.632,25.016,61.678,0.001,Blumberg.2017a
C9,111-84-2,9,20,0,0,0,128.26,Wax,46.169,26.346,67.749,0.001,Blumberg.2017a
C10,124-18-5,10,22,0,0,0,142.28,Wax,66.044,27.526,74.429,0.001,Blumberg.2017a
C11,1120-21-4,11,24,0,0,0,156.31,Wax,84.475,28.633,76.138,0.001,Blumberg.2017a
C12,112-40-3,12,26,0,0,0,170.34,Wax,101.695,29.608,81.796,0.001,Blumberg.2017a
C13,629-50-5,13,28,0,0,0,184.37,Wax,117.853,30.51,87.457,0.001,Blumberg.2017a
C14,629-59-4,14,30,0,0,0,198.39,Wax,133.079,31.34,92.855,0.001,Blumberg.2017a
C15,629-62-9,15,32,0,0,0,212.42,Wax,147.466,32.122,98.572,0.001,Blumberg.2017a
1-Octanol,111-87-5,8,18,1,0,0,130.23,Wax,155.402,32.317,97.29,0.001,Blumberg.2017a
1-Nonanol,143-08-8,9,20,1,0,0,144.26,Wax,169.041,33.106,102.053,0.001,Blumberg.2017a
2-Octanol,123-96-6,8,18,1,0,0,130.23,Wax,135.173,30.775,95.604,0.001,Blumberg.2017a
2-Nonanol,628-99-9,9,20,1,0,0,144.26,Wax,149.456,31.6,102.932,0.001,Blumberg.2017a
5-Nonanol,623-93-8,9,20,1,0,0,144.26,Wax,143.665,31.212,100.051,0.001,Blumberg.2017a
5-Decanol,5205-34-5,10,22,1,0,0,158.28,Wax,157.255,31.981,107.111,0.001,Blumberg.2017a
2-Octanone,111-13-7,8,16,1,0,0,128.21,Wax,118.769,32.266,70.902,0.001,Blumberg.2017a
2-Decanone,693-54-9,10,20,1,0,0,156.27,Wax,150.109,33.907,78.098,0.001,Blumberg.2017a
